Equipo,PL,90 Jugados,ACT,SCA90,PassLiveSCA,PassDeadSCA,TakeOnsSCA,ShotsSCA,FouledSCA,DefenseSCA,ACG,GCA90,PassLiveGCA,PassDeadGCA,TakeOnsGCA,ShotsGCA,FouledGCA,DefenseGCA,Temporada
Villarreal,29,38.0,800,21.05,593,73,57,38,28,11,112,2.95,73,12,11,10,5,1,2021-2022
Almería,29,38.0,758,19.95,533,73,51,51,33,17,76,2.00,51,7,8,7,3,0,2022-2023
Athletic Club,26,38.0,945,24.87,678,96,56,59,40,16,78,2.05,54,3,6,7,7,1,2022-2023
Atlético Madrid,27,38.0,958,25.21,756,59,47,51,32,13,116,3.05,82,7,9,13,3,2,2022-2023
Barcelona,29,38.0,1050,27.63,824,65,62,58,30,11,125,3.29,106,2,6,11,0,0,2022-2023
Betis,30,38.0,741,19.50,547,55,53,44,35,7,69,1.82,47,3,5,9,5,0,2022-2023
Cádiz,38,38.0,663,17.45,461,69,36,42,38,17,49,1.29,32,2,8,5,2,0,2022-2023
Celta Vigo,26,38.0,819,21.55,623,62,45,41,37,11,70,1.84,55,3,6,3,1,2,2022-2023
Elche,32,38.0,726,19.11,495,103,47,37,33,11,54,1.42,36,7,0,4,5,2,2022-2023
Espanyol,33,38.0,735,19.34,506,79,43,53,41,13,84,2.21,58,2,5,13,3,3,2022-2023
Getafe,25,38.0,619,16.29,414,84,25,35,54,7,51,1.34,38,4,2,2,4,1,2022-2023
Girona,29,38.0,821,21.61,597,86,41,45,43,9,102,2.68,70,10,1,5,13,3,2022-2023
Mallorca,31,38.0,563,14.82,373,76,33,30,42,9,63,1.66,37,11,4,4,5,2,2022-2023
Osasuna,26,38.0,779,20.50,564,77,53,41,30,14,69,1.82,53,7,0,5,4,0,2022-2023
Rayo Vallecano,28,38.0,881,23.18,651,77,43,40,46,24,69,1.82,50,5,6,3,4,1,2022-2023
Real Madrid,26,38.0,1194,31.42,894,85,88,52,67,8,134,3.53,95,5,15,8,10,1,2022-2023
Real Sociedad,30,38.0,800,21.05,594,71,41,39,38,17,82,2.16,64,3,5,4,3,3,2022-2023
Sevilla,35,38.0,837,22.03,640,74,26,41,39,17,82,2.16,56,8,7,6,5,0,2022-2023
Valencia,28,38.0,859,22.61,607,80,59,46,51,16,62,1.63,40,6,2,7,6,1,2022-2023
Valladolid,36,38.0,792,20.84,581,77,39,36,46,13,59,1.55,40,6,4,4,5,0,2022-2023
Villarreal,32,38.0,884,23.26,665,45,73,53,40,8,89,2.34,59,2,13,11,4,0,2022-2023
Alavés,30,38.0,817,21.50,563,88,54,53,43,16,60,1.58,39,5,6,4,6,0,2023-2024
Almería,35,38.0,823,21.66,586,66,47,52,50,22,70,1.84,45,3,7,9,4,2,2023-2024
Athletic Club,27,38.0,817,21.50,612,81,48,33,32,11,103,2.71,83,6,6,3,4,1,2023-2024
Atlético Madrid,27,38.0,852,22.42,650,59,56,42,31,14,120,3.16,94,3,10,7,5,1,2023-2024
Barcelona,29,38.0,1063,27.97,798,83,63,69,39,11,136,3.58,105,6,6,11,7,1,2023-2024
Betis,35,38.0,870,22.89,632,75,52,62,34,15,78,2.05,57,3,5,7,3,3,2023-2024
Cádiz,34,38.0,698,18.37,478,85,30,48,42,15,40,1.05,25,4,1,5,4,1,2023-2024
Celta Vigo,31,38.0,855,22.50,645,67,50,43,42,8,81,2.13,63,2,5,5,6,0,2023-2024
Getafe,33,38.0,766,20.16,531,87,45,48,40,15,69,1.82,40,8,8,9,4,0,2023-2024
Girona,25,38.0,872,22.95,674,62,45,45,36,10,152,4.00,119,7,10,7,8,1,2023-2024
Granada,40,38.0,708,18.63,475,74,47,50,49,13,63,1.66,45,3,3,5,5,2,2023-2024
Las Palmas,29,38.0,707,18.61,560,40,38,30,30,9,60,1.58,49,3,1,3,3,1,2023-2024
Mallorca,25,38.0,734,19.32,501,99,37,52,33,12,57,1.50,33,12,1,8,3,0,2023-2024
Osasuna,29,38.0,714,18.79,505,77,32,47,45,8,73,1.92,45,8,4,10,6,0,2023-2024
Rayo Vallecano,26,38.0,815,21.45,548,79,36,62,70,20,40,1.05,21,3,3,7,5,1,2023-2024
Real Madrid,27,38.0,1082,28.47,813,72,84,59,38,16,154,4.05,113,8,16,13,2,2,2023-2024
Real Sociedad,31,38.0,775,20.39,528,79,53,59,37,19,79,2.08,54,4,6,9,4,2,2023-2024
Sevilla,35,38.0,874,23.00,641,94,42,40,45,12,84,2.21,62,6,6,5,2,3,2023-2024
Valencia,29,38.0,670,17.63,478,66,38,29,42,17,66,1.74,47,3,5,5,6,0,2023-2024
Villarreal,32,38.0,855,22.50,624,76,53,56,30,16,111,2.92,77,9,4,15,5,1,2023-2024
