Equipo,GC,PD,TL,TE,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Int.,Att (GK),TI,Opp,Stp,Temporada
Real Madrid,0.95,0.11,0.00,0.05,0.03,0.90,0.22,-0.02,-0.02,2.55,6.34,29.2,6.05,11.1,0.87,2022-2023
Real Sociedad,0.92,0.03,0.03,0.08,0.05,0.86,0.24,-0.01,0.00,6.42,15.1,27.9,3.63,11.9,0.47,2022-2023
Sevilla,1.42,0.05,0.03,0.13,0.08,1.30,0.30,-0.04,-0.04,5.74,16.6,30.1,3.58,13.8,0.84,2022-2023
Valencia,1.18,0.05,0.00,0.18,0.05,1.13,0.28,-0.00,0.00,4.66,13.7,21.2,3.74,12.0,0.92,2022-2023
Valladolid,1.66,0.16,0.03,0.00,0.03,1.65,0.28,0.02,+0.02,5.05,14.6,25.3,4.47,14.8,0.53,2022-2023
Villarreal,1.05,0.11,0.00,0.11,0.03,1.15,0.27,0.12,+0.12,3.00,8.68,30.5,5.03,14.4,0.97,2022-2023
Alavés,1.21,0.21,0.00,0.11,0.05,1.18,0.25,0.02,+0.02,8.29,20.5,23.3,3.29,13.9,0.76,2023-2024
Almería,1.97,0.16,0.00,0.21,0.00,1.85,0.32,-0.12,-0.12,4.76,16.2,29.3,4.74,16.6,0.76,2023-2024
Athletic Club,0.97,0.03,0.00,0.05,0.11,1.06,0.28,0.19,+0.20,6.26,19.2,27.6,4.32,12.9,0.87,2023-2024
Atlético Madrid,1.13,0.03,0.00,0.08,0.00,1.05,0.28,-0.08,-0.08,3.00,8.84,19.1,4.74,15.2,0.95,2023-2024
Barcelona,1.16,0.05,0.00,0.03,0.00,1.09,0.28,-0.06,-0.06,2.97,5.68,28.3,4.24,11.8,0.39,2023-2024
Betis,1.18,0.18,0.08,0.08,0.08,1.25,0.26,0.14,+0.15,4.74,13.4,26.9,4.39,14.2,1.00,2023-2024
Cádiz,1.45,0.05,0.00,0.16,0.03,1.36,0.30,-0.06,-0.06,9.58,23.9,26.1,3.24,16.2,1.58,2023-2024
Celta Vigo,1.50,0.16,0.00,0.18,0.08,1.47,0.31,0.05,+0.05,4.63,13.0,21.3,4.79,14.6,0.74,2023-2024
Getafe,1.42,0.13,0.00,0.18,0.00,1.45,0.29,0.03,+0.03,8.97,24.1,25.7,3.26,12.2,0.47,2023-2024
Girona,1.21,0.13,0.00,0.21,0.00,1.34,0.28,0.13,+0.13,4.08,11.1,28.3,4.68,14.1,1.08,2023-2024
Granada,2.08,0.13,0.00,0.32,0.05,1.85,0.33,-0.18,-0.18,6.08,16.5,28.8,4.87,14.1,0.87,2023-2024
Las Palmas,1.24,0.13,0.00,0.13,0.08,1.35,0.29,0.19,+0.19,3.84,12.4,45.6,5.37,14.3,0.79,2023-2024
Mallorca,1.16,0.11,0.03,0.11,0.03,1.15,0.26,0.02,+0.02,8.76,21.7,25.8,3.37,13.7,0.89,2023-2024
Osasuna,1.47,0.03,0.00,0.21,0.00,1.36,0.33,-0.11,-0.11,8.66,20.3,28.2,3.13,14.1,0.79,2023-2024
Rayo Vallecano,1.26,0.03,0.03,0.13,0.05,1.26,0.31,0.05,+0.05,4.47,16.1,24.1,4.63,14.1,0.61,2023-2024
Real Madrid,0.68,0.03,0.00,0.05,0.03,0.91,0.29,0.25,+0.25,2.08,5.53,25.1,4.66,12.8,0.92,2023-2024
Real Sociedad,1.03,0.16,0.00,0.13,0.03,1.07,0.27,0.07,+0.07,5.05,12.2,28.9,3.05,10.8,0.50,2023-2024
Sevilla,1.42,0.13,0.03,0.11,0.05,1.41,0.28,0.04,+0.04,5.89,16.1,24.2,4.79,13.7,0.82,2023-2024
Valencia,1.18,0.08,0.03,0.18,0.05,1.35,0.29,0.22,+0.22,5.03,18.3,23.2,3.89,14.8,1.21,2023-2024
Villarreal,1.71,0.16,0.03,0.24,0.03,1.62,0.27,-0.06,-0.06,3.95,9.95,26.7,5.00,18.1,0.92,2023-2024
