idPartido,EquipoLocal,EquipoVisitante,golesLocal,golesVisitante,Temporada,SCA90_local,GCA90_local,SCA90_visitante,GCA90_visitante
327,Real Sociedad,Atletico de Madrid,3,0,2017-2018,24.26,2.84,18.45,2.74
328,Levante,Malaga,1,0,2017-2018,19.16,2.08,18.08,0.89
329,Alaves,Girona,1,2,2017-2018,17.5,1.87,20.89,2.32
330,Betis,Las Palmas,1,0,2017-2018,19.05,2.45,19.26,1.08
331,Leganes,Deportivo de La Coruna,0,0,2017-2018,17.84,1.45,21.53,1.76
332,Celta Vigo,Valencia,1,1,2017-2018,21.11,2.71,22.63,3.0
333,Eibar,Getafe,0,1,2017-2018,21.29,1.89,16.55,1.68
334,Girona,Espanyol,0,2,2017-2018,20.89,2.32,19.05,1.58
335,Malaga,Real Sociedad,2,0,2017-2018,18.08,0.89,24.26,2.84
336,Las Palmas,Alaves,0,4,2017-2018,19.26,1.08,17.5,1.87
